segment_name,count
CustomerServiceRep_11A,17
Aquatics_Kings_Dominion,16
Custodial&Janitorial_Six Flags Over Texas & Hurricane Harbor Arlington,16
Customer-Service_Phoenix,16
Cafe_Coach,16
Next Door - Pittsford,16
Newport Meat_Corporate,16
Cafe_Ambassador_Plano,15
Finance_Other,15
Maintenance_Kings_Island,15
Admissions_Six Flags Over Georgia,15
"HTF_Six Flags Great Adventure, Hurricane Harbor & Wild Safari Adventure",15
CustomerServiceRep_11C,15
Insurance_Chesapeake,15
Newport Meat_Warehouse,15
CustomerServiceRep_12J,15
Maintenance_Six Flags St. Louis,14
HTF_Six Flags St. Louis,14
Edward Don_Warehouse,14
GamesMerch_Knott's_Berry_Farm,14
Administration_Six Flags Over Georgia,14
Operations_Six Flags Discovery Kingdom,14
US_Engineering,14
Resorts_Kings_Dominion,14
Paragon_Warehouse,14
Coastal_Warehouse,14
Greco_Supply Chain and Logistics,14
Coastal_Manufacturing,14
Rides_Six Flags Great Escape,14
Admissions_Kings_Dominion,13
Seasonal_Knott's_Berry_Farm,13
Maintenance_Six Flags Magic Mountain & Hurricane Harbor Los Angeles,13
Nursing_Operating,13
Aquatics_Worlds_of_Fun,13
Aquatics_Six Flags Over Georgia,13
Procurement,13
Paragon_Supply Chain and Logistics,13
CustomerServiceRep_12G,13
CathLab_EPS,13
North Star_Supply Chain and Logistics,13
Aquatics_Six Flags White Water,13
Management_11H,13
Healthcare_Laboratory,13
CustomerServiceRep_12H,12
Healthcare_Pharmacy,12
SecuritySafety_Six Flags Over Texas & Hurricane Harbor Arlington,12
Rides_Six Flags Fiesta Texas,12
CustodialJanitorial_Six Flags Great Escape,12
Cafe_Ambassador_Columbus,12
SecuritySafety_California's_Great_America,12
Cafe_Ambassador_DC,12
FoodBeverage_Six Flags Over Texas & Hurricane Harbor Arlington,12
Admissions_Six Flags Great Escape,12
Wisconsin _Ave,12
Application/Product Management,12
Management_11C,12
SecuritySafety_Dorney_Park,12
Seasonal_California's_Great_America,12
CustodialJanitorial_Six Flags Fiesta Texas,11
Management_11B,11
Newport Meat_Sales,11
Operations_Six Flags Over Texas & Hurricane Harbor Arlington,11
Nursing_Cardiology,11
Nursing_Infusion,11
Paragon_Corporate,11
Camden NJ Hiring Event,11
Admissions_Six Flags Discovery Kingdom,11
Operations_Knott's_Berry_Farm,11
Operations_Six Flags Over Georgia,11
Nursing_Support_Non-Clinical,11
Transportation_Logistics_US,10
North Star_Manufacturing,10
Rides_Six Flags Over Texas & Hurricane Harbor Arlington,10
